Customer_ID,Age,Income,Owns_Home,Previous_Purchase,Will_Buy
1,58,70,0,1,1
2,48,76,0,0,1
3,34,61,1,0,0
4,27,71,0,1,1
5,40,96,1,1,1
6,58,114,0,1,1
7,38,45,0,1,0
8,42,107,1,0,1
9,30,111,0,1,1
10,30,82,1,1,1
11,43,116,1,0,1
12,55,80,0,0,1
13,59,107,0,0,1
14,43,81,0,0,1
15,22,86,0,0,0
16,41,80,1,1,1
17,21,65,0,1,1
18,43,68,0,0,0
19,49,43,1,0,0
20,57,65,1,1,1
21,21,76,0,0,0
22,40,91,0,0,1
23,52,33,0,0,0
24,31,21,1,0,0
25,41,25,1,0,0
26,44,95,1,0,1
27,46,80,0,0,1
28,47,55,0,0,0
29,35,109,1,0,1
30,34,112,0,1,1
31,22,87,0,1,1
32,56,49,0,1,1
33,26,67,0,1,1
34,40,35,0,0,0
35,28,83,1,1,1
36,58,27,0,1,0
37,37,115,1,0,1
38,23,54,0,0,0
39,44,43,1,0,0
40,33,50,1,0,0
41,28,53,0,0,0
42,45,24,1,1,0
43,21,33,1,1,0
44,39,56,0,0,0
45,47,119,1,1,1
46,26,100,1,1,1
47,27,39,0,1,0
48,54,84,1,0,1
49,33,35,0,1,0
50,36,106,1,0,1
51,55,30,0,0,0
52,59,87,1,1,1
53,23,63,1,0,0
54,21,106,1,0,1
55,25,114,0,1,1
56,23,80,1,1,1
57,48,50,0,1,1
58,37,88,1,0,1
59,45,110,1,0,1
60,53,112,1,0,1
61,29,96,0,1,1
62,55,118,0,0,1
63,33,80,0,1,1
64,50,28,1,0,0
65,34,69,1,1,1
66,27,37,0,0,0
67,33,34,0,0,0
68,42,43,0,1,0
69,59,114,0,1,1
70,40,66,0,1,1
71,35,90,0,1,1
72,37,92,0,0,1
73,43,99,0,0,1
74,45,53,1,1,1
75,44,115,1,0,1
76,48,42,0,1,0
77,34,39,0,0,0
78,20,64,0,1,1
79,44,55,0,1,1
80,26,65,0,0,0
81,28,28,1,1,0
82,43,33,0,1,0
83,20,62,1,1,1
84,27,103,1,1,1
85,43,96,0,1,1
86,30,80,1,1,1
87,36,100,1,1,1
88,27,41,1,0,0
89,54,24,1,1,1
90,54,119,1,1,1
91,52,78,1,0,1
92,24,51,0,1,0
93,58,112,1,0,1
94,47,95,1,1,1
95,26,54,1,1,1
96,28,23,0,0,0
97,27,100,1,0,1
98,31,104,1,0,1
99,53,101,1,0,1
100,52,66,1,0,1
101,42,92,0,1,1
102,43,97,0,0,1
103,56,73,1,1,1
104,54,79,1,1,1
105,59,70,0,1,1
106,41,107,1,1,1
107,46,32,1,1,1
108,54,54,1,0,1
109,20,35,1,1,0
110,54,87,0,1,1
111,56,22,1,0,0
112,33,117,1,0,1
113,22,81,0,0,0
114,20,98,1,0,1
115,24,50,1,0,0
116,45,20,0,0,0
117,33,81,0,0,0
118,58,20,0,1,0
119,46,52,1,0,0
120,28,109,1,0,1
121,34,61,1,1,1
122,34,84,0,1,1
123,45,35,1,1,1
124,32,56,1,1,1
125,51,71,1,0,1
126,58,54,0,1,1
127,51,91,0,0,1
128,23,66,1,1,1
129,49,118,1,1,1
130,56,21,0,0,0
131,42,63,0,0,0
132,58,72,1,0,1
133,34,101,0,1,1
134,48,93,1,1,1
135,55,29,1,1,1
136,32,64,1,0,1
137,51,95,1,0,1
